,x
1,Univariable,Exposure Days,1.263 (1.05 - 1.58),0.022
2,Univariable,Sum Distance,1.012 (1 - 1.03),0.084
3,Univariable,Average Distance,0.95 (0.85 - 1.05),0.331
4,Univariable,Min Distance,0.946 (0.86 - 1.03),0.209
5,Univariable,expoRatio,0.95 (0.85 - 1.05),0.331
